OBJECTID,Join_Count,TARGET_FID,Source,OutletID,Name,Address,Parish,PlusCode,Latitude,Longitude,Category,Healthy,BusinessOnGoogleMaps,Notes,OBJECTID_1,ID3,ENUM_NO1,PARISHNAM1,POPULATION,MALES,FEMALE,PARISH,OUTLET_Cat,Unhealthy1,Healthy1
218,1,218,Google maps,M035,The Gourmet Shop,"#5 Chattel Village, Highway 1, BB24045, Holetown, Barbados",St. James,785259M6+HV,13.183937,-59.637812,Grocery store,Healthy,,,195,195,441,St. James,174,83,91,St. James,Grocery store,0,1
219,1,219,Google maps,M036,TodaMart Inc,"Drax Hall Jump, , Barbados",St. George,78524FPM+Q5,13.136937,-59.517062,Mini mart/Convience store,Unhealthy,,,437,438,304,St. George,670,328,342,St. George,Mini mart/Convience store,1,0
220,1,220,Company Website,M038,Massy Stores Express,"Highway 5, Six Cross Roads, Barbados",St. Philip,78524G9F+62,13.118062,-59.477438,Supermarket,Healthy,,,478,479,360,St. Philip,492,227,265,St. Philip,Supermarket,0,1
221,1,221,Directory Barbados (Online),S001,A1 Supermarkets,"Black Rock, St. Michael, Bridgetown, Barbados",St. Michael,785249FG+F7,13.123687,-59.624313,Supermarket,Healthy,,,12,12,13,St. Michael,190,95,95,St. Michael,Supermarket,0,1
222,1,222,Directory Barbados (Online),S002,A1 Supermarkets,"Six Cross Roads, BB18055, Barbados",St. Philip,78524G8F+MV,13.116687,-59.475313,Supermarket,Healthy,,,556,557,375,St. Philip,525,235,290,St. Philip,Supermarket,0,1
223,1,223,Find Yello Barbados Directory (Online),S004,Belleplaine Supermarket and Snackette,"Ermy Bourne Hwy, Belleplaine, St. Andrew, Barbados",St. Andrew,78526CWP+JF,13.246562,-59.563813,Supermarket,Healthy,,,257,257,522,St. Andrew,498,251,247,St. Andrew,Supermarket,0,1
224,1,224,Find Yello Barbados Directory (Online),S005,Bridge Supermarket,"Charles Rowe Bridge, St George, Barbados",St. George,78524CHJ+X3,13.129938,-59.569813,Supermarket,Healthy,,,451,452,321,St. George,700,376,324,St. George,Supermarket,0,1
225,1,225,Directory Barbados (Online),S006,Channell Supermarket,"Black Rock Main Road, Bridgetown, Barbados",St. Michael,7852499H+GW,13.118813,-59.620188,Supermarket,Healthy,,,20,20,24,St. Michael,579,265,314,St. Michael,Supermarket,0,1
226,1,226,Directory Barbados (Online),S007,Channell Supermarket,"14 Upper Collymore Rock Rd, Bridgetown, Barbados",St. Michael,78523CV4+5Q,13.092937,-59.593063,Supermarket,Healthy,,,131,131,154,St. Michael,477,221,256,St. Michael,Supermarket,0,1
227,1,227,Google maps,S008,Cherish Supermarket,"9 Swan St, Bridgetown BB11034, Barbados",St. Michael,785239XM+8P,13.098313,-59.615687,Supermarket,Healthy,,,6,6,6,St. Michael,355,190,165,St. Michael,Supermarket,0,1
228,1,228,Find Yello Barbados Directory (Online),S009,Cleaver's Hill Supermarket Inc,Cleaver’s Hill St. Joseph,St. Joseph,78526F5C+XR,13.209938,-59.527938,Supermarket,Healthy,,,251,251,515,St. Joseph,480,229,251,St. Joseph,Supermarket,0,1
229,1,229,Find Yello Barbados Directory (Online),S010,Dover Market,"3rd Ave Dover, Oistins, Barbados",Christ Church,78523C8M+8P,13.065812,-59.565687,Supermarket,Healthy,,,374,375,224,Christ Churc,237,111,126,Christ Churc,Supermarket,0,1
230,1,230,Directory Barbados (Online),S011,Eddie's Trading Co Ltds,"Corner of Church Street & Queen Street, Speightstown, Barbados",St. Peter,78527924+8Q,13.250813,-59.643062,Supermarket,Healthy,,,272,272,538,St. Peter,470,233,237,St. Peter,Supermarket,0,1
231,1,231,Directory Barbados (Online),S012,Fair Deals Supermarket,"Crab Hill No.1 Rd, Crab Hill, Barbados",St. Lucy,78528996+JP,13.319063,-59.638188,Supermarket,Healthy,,,295,295,568,St. Lucy,106,47,59,St. Lucy,Supermarket,0,1
232,1,232,Find Yello Barbados Directory (Online),S013,GHH Supermarket,"Church Village, St. Philip",St. Philip,78524GQ5+5W,13.137937,-59.490188,Supermarket,Healthy,,,557,558,338,St. Philip,375,199,176,St. Philip,Supermarket,0,1
233,1,233,Find Yello Barbados Directory (Online),S014,Hill Lionel C Supermarket,"Roebuck St, Bridgetown, Barbados",St. Michael,7852492Q+JC,13.101563,-59.611438,Supermarket,Healthy,,,2,2,3,St. Michael,372,198,174,St. Michael,Supermarket,0,1
234,1,234,Find Yello Barbados Directory (Online),S015,Howard's Supermarket,"Bush Hall, St. Michael",St. Michael,7852498V+6J,13.115562,-59.605937,Supermarket,Healthy,,,85,85,107,St. Michael,468,217,251,St. Michael,Supermarket,0,1
235,1,235,Directory Barbados (Online),S016,Index Enterprises Ltd,"141 Roebuck St, Bridgetown, Barbados",St. Michael,785239XP+HG,13.098937,-59.613688,Supermarket,Healthy,,,2,2,3,St. Michael,372,198,174,St. Michael,Supermarket,0,1
236,1,236,Find Yello Barbados Directory (Online),S017,In-Transit Foods,"Parish Land Rd, Oistins, Barbados",Christ Church,78523FHP+23,13.077562,-59.514813,Supermarket,Healthy,,,542,543,261,Christ Churc,233,103,130,Christ Churc,Supermarket,0,1
237,1,237,Directory Barbados (Online),S018,Jordans Supermarket,"Fairchild Street Bus Terminal, Fairchild St, Bridgetown, Barbados",St. Michael,785239WQ+88,13.095812,-59.611688,Supermarket,Healthy,,,1,1,1,St. Michael,401,193,208,St. Michael,Supermarket,0,1
238,1,238,Directory Barbados (Online),S019,Jordans Supermarket,"Prospects Rd, Fitts Village, Barbados",St. James,785249W6+8V,13.145812,-59.637812,Supermarket,Healthy,,,329,330,478,St. James,170,84,86,St. James,Supermarket,0,1
239,1,239,Directory Barbados (Online),S020,Jordans Supermarket,"Baxters Rd, Bridgetown BB11026, Barbados",St. Michael,7852493J+4X,13.102812,-59.617563,Supermarket,Healthy,,,5,5,7,St. Michael,378,229,149,St. Michael,Supermarket,0,1
240,1,240,Directory Barbados (Online),S021,Jordans Supermarket,"Queen's St, Speightstown, Barbados",St. Peter,785269X4+2C,13.247563,-59.643938,Supermarket,Healthy,,,272,272,538,St. Peter,470,233,237,St. Peter,Supermarket,0,1
241,1,241,Find Yello Barbados Directory (Online),S023,Kelsi Ltd,"Highway 3, Jackmans, Barbados",St. Thomas,78524CJ4+5H,13.130437,-59.593563,Supermarket,Healthy,,,165,165,84,St. Michael,517,247,270,St. Michael,Supermarket,0,1
242,1,242,Find Yello Barbados Directory (Hard Copy),S024,Mall Mart Supermarket and Cosmetique,"Dacostas Mall, Swan Street",St. Michael,785239XM+8G,13.098313,-59.616187,Supermarket,Healthy,,,6,6,6,St. Michael,355,190,165,St. Michael,Supermarket,0,1
243,1,243,Directory Barbados (Online),S025,Market Hill Supermarket,"Highway 3, Belair, Barbados",St. George,78525C3Q+WR,13.154813,-59.560438,Supermarket,Healthy,,,456,457,326,St. George,400,191,209,St. George,Supermarket,0,1
244,1,244,Directory Barbados (Online),S026,Massy Stores,"Sunset Blvd, Holetown, Barbados",St. James,785259P7+22,13.185063,-59.637438,Supermarket,Healthy,,,195,195,441,St. James,174,83,91,St. James,Supermarket,0,1
245,1,245,Directory Barbados (Online),S027,Massy Stores,"Sky Mall, Haggatt Hall, St. Michael, Barbados",St. Michael,78524C4C+H7,13.106437,-59.579313,Supermarket,Healthy,,,172,172,178,St. Michael,509,241,268,St. Michael,Supermarket,0,1
246,1,246,Directory Barbados (Online),S028,Massy Stores,"Rendezvous Hill, Worthing, Barbados",Christ Church,78523CF9+85,13.073312,-59.582062,Supermarket,Healthy,,,352,353,199,Christ Churc,75,32,43,Christ Churc,Supermarket,0,1
247,1,247,Directory Barbados (Online),S029,Massy Stores,"Welches No.1 cul-de-sac, Oistins, Barbados",Christ Church,78523F83+4M,13.065312,-59.545812,Supermarket,Healthy,,,379,380,229,Christ Churc,326,173,153,Christ Churc,Supermarket,0,1
248,1,248,Company Website,S030,Massy Stores,"870-877 Ackee Loop Rd, Charnocks, Barbados",Christ Church,78523FMX+R4,13.084562,-59.502188,Supermarket,Healthy,,,535,536,266,Christ Churc,407,200,207,Christ Churc,Supermarket,0,1
249,1,249,Directory Barbados (Online),S031,Massy Stores SuperCentre,"CGI Tower, Warrens, Barbados",St. Michael,785249RR+QF,13.141937,-59.608812,Supermarket,Healthy,,,154,154,74,St. Michael,563,286,277,St. Michael,Supermarket,0,1
250,1,250,Directory Barbados (Online),S032,Montrose Supermarket,"Kingsland/Gall Hill Rd, Oistins, Barbados",Christ Church,78523FF3+5V,13.072937,-59.545312,Supermarket,Healthy,,,373,374,223,Christ Churc,388,168,220,Christ Churc,Supermarket,0,1
251,1,251,Find Yello Barbados Directory (Online),S033,Mumus Supermarket,"Lammings, St. Joseph",St. Joseph,78526F26+67,13.200563,-59.539313,Supermarket,Healthy,,,575,576,516,St. Joseph,288,149,139,St. Joseph,Supermarket,0,1
252,1,252,Find Yello Barbados Directory (Online),S034,Out-of-Town Cash-N-Carry,Fairfield X Road Tudor Bridge St. Michael,St. Michael,7852499P+9F,13.118437,-59.613813,Supermarket,Healthy,,,77,77,99,St. Michael,382,182,200,St. Michael,Supermarket,0,1
253,1,253,Directory Barbados (Online),S035,Popular Discounts,"Spooners Hill, Bridgetown, Barbados",St. Michael,785249CQ+JJ,13.121562,-59.610938,Supermarket,Healthy,,,29,29,35,St. Michael,610,294,316,St. Michael,Supermarket,0,1
254,1,254,Directory Barbados (Online),S036,Popular Discounts,"Kendal Hill, Oistins, Barbados",Christ Church,78523CGR+XF,13.077438,-59.558812,Supermarket,Healthy,,,360,361,210,Christ Churc,637,319,318,Christ Churc,Supermarket,0,1
255,1,255,Directory Barbados (Online),S037,Popular Discounts - Store 1,"Spry St, Bridgetown BB11048, Barbados",St. Michael,785239XP+5P,13.097938,-59.613188,Supermarket,Healthy,,,2,2,3,St. Michael,372,198,174,St. Michael,Supermarket,0,1
256,1,256,Google maps,S038,Popular Discounts - Store 3,"Spry St, Bridgetown BB11048, Barbados",St. Michael,785239XP+2Q,13.097562,-59.613063,Supermarket,Healthy,,,2,2,3,St. Michael,372,198,174,St. Michael,Supermarket,0,1
257,1,257,Directory Barbados (Online),S039,Price Lo Supermarket,"Village Complex, Sargeant's Village,, Bridgetown, Barbados",Christ Church,78523CPG+9Q,13.085937,-59.573062,Supermarket,Healthy,,,539,540,206,Christ Churc,387,190,197,Christ Churc,Supermarket,0,1
258,1,258,Find Yello Barbados Directory (Online),S040,RTR Supermarket,"Mount Standfast, St. James",St. James,78526956+FC,13.208687,-59.638938,Supermarket,Healthy,,,326,327,426,St. James,264,132,132,St. James,Supermarket,0,1
259,1,259,Google maps,S042,Roxy Supermarket,"Eagle Hall Main Rd, Bridgetown, Barbados",St. Michael,7852497P+88,13.113312,-59.614188,Supermarket,Healthy,,,73,73,95,St. Michael,241,134,107,St. Michael,Supermarket,0,1
260,1,260,Directory Barbados (Online),S043,Savings Plus Supermarket,"St. Michael Row, Hardwood Alley, Bridgetown, Barbados",St. Michael,785239WP+JX,13.096562,-59.612563,Supermarket,Healthy,,,108,108,2,St. Michael,613,331,282,St. Michael,Supermarket,0,1
261,1,261,Directory Barbados (Online),S044,Savings Plus Supermarket,"Rock Dundo Park Cave Hill, Rock Dundo Park Rd, Barbados",St. Michael,785249MM+5R,13.132937,-59.615438,Supermarket,Healthy,,,156,156,59,St. Michael,355,162,193,St. Michael,Supermarket,0,1
262,1,262,Directory Barbados (Online),S045,Savings Plus Supermarket,"My Lord's Hill, Barbados",St. Michael,78524C53+8W,13.108312,-59.595187,Supermarket,Healthy,,,96,96,118,St. Michael,618,296,322,St. Michael,Supermarket,0,1
263,1,263,Directory Barbados (Online),S046,Savings Plus Supermarket,"Harbour View, Bridgetown, Barbados",St. Michael,785239XH+2G,13.097562,-59.621188,Supermarket,Healthy,,,11,11,8,St. Michael,664,356,308,St. Michael,Supermarket,0,1
264,1,264,Directory Barbados (Online),S047,Savings Plus Supermarket,"Swan Street, Bridgetown, Barbados",St. Michael,785239XP+82,13.098313,-59.614937,Supermarket,Healthy,,,6,6,6,St. Michael,355,190,165,St. Michael,Supermarket,0,1
265,1,265,Find Yello Barbados Directory (Online),S048,Sawh's Supermarket,"Tweedside Rd, Bridgetown, Barbados",St. Michael,7852493W+27,13.102562,-59.604313,Supermarket,Healthy,,,100,100,122,St. Michael,518,246,272,St. Michael,Supermarket,0,1
266,1,266,Directory Barbados (Online),S049,Shopsmart Inc,"Cheapside Minibus And ZR Terminal, Prescod Bottom, Bridgetown, Barbados",St. Michael,785239XH+G6,13.098812,-59.621938,Supermarket,Healthy,,,11,11,8,St. Michael,664,356,308,St. Michael,Supermarket,0,1
267,1,267,Directory Barbados (Online),S050,Shopsmart Inc,"Holders Terrace, Holders Hill, Holetown",St. James,7852596G+F6,13.161188,-59.624437,Supermarket,Healthy,,,217,217,471,St. James,344,153,191,St. James,Supermarket,0,1
268,1,268,Directory Barbados (Online),S051,Shopsmart Inc,"Johns Plain,Holetown, Barbados",St. James,7852596G+Q8,13.161938,-59.624188,Supermarket,Healthy,,,217,217,471,St. James,344,153,191,St. James,Supermarket,0,1
269,1,269,Directory Barbados (Online),S052,Shopsmart Inc Express,"Errol Barrow Hwy, Wildey, Barbados",St. Michael,78523CR9+7G,13.090688,-59.581187,Supermarket,Healthy,,,139,139,164,St. Michael,425,194,231,St. Michael,Supermarket,0,1
270,1,270,Directory Barbados (Online),S053,Shopsmart Inc Express,"Golf Club Rd, Worthing, Christ Church, Barbados",Christ Church,78523CF8+VG,13.074687,-59.583687,Supermarket,Healthy,,,352,353,199,Christ Churc,75,32,43,Christ Churc,Supermarket,0,1
271,1,271,Directory Barbados (Online),S054,Shopsmart Inc Express,"Highway 7,Oistins, Barbados",Christ Church,78523CC9+7X,13.070687,-59.580062,Supermarket,Healthy,,,354,355,201,Christ Churc,182,88,94,Christ Churc,Supermarket,0,1
272,1,272,Directory Barbados (Online),S055,Shopsmart Inc Express,"Highway 5, Six Cross Roads, Barbados",St. Philip,78524G9G+5C,13.117937,-59.473937,Supermarket,Healthy,,,479,480,361,St. Philip,352,169,183,St. Philip,Supermarket,0,1
273,1,273,Directory Barbados (Online),S056,Shopsmart Inc Express,"Brittons Cross Road, Bridgetown, Barbados",St. Michael,78523CP2+XW,13.087437,-59.597687,Supermarket,Healthy,,,145,145,172,St. Michael,611,314,297,St. Michael,Supermarket,0,1
274,1,274,Directory Barbados (Online),S057,Shopsmart Inc Express,"Church St, Speightstown, Barbados",St. Peter,78527925+F4,13.251188,-59.642188,Supermarket,Healthy,,,272,272,538,St. Peter,470,233,237,St. Peter,Supermarket,0,1
275,1,275,Directory Barbados (Online),S060,The People's Market,"Highway 2, Bridgetown, Barbados",St. Michael,7852498P+54,13.115437,-59.614688,Supermarket,Healthy,,,75,75,97,St. Michael,299,137,162,St. Michael,Supermarket,0,1
276,1,276,Directory Barbados (Online),S061,The People's Market,"62a Tudor St, Bridgetown, Barbados",St. Michael,7852492M+55,13.100437,-59.617063,Supermarket,Healthy,,,6,6,6,St. Michael,355,190,165,St. Michael,Supermarket,0,1
277,1,277,Directory Barbados (Online),S062,Trimart Supermarket,"Rendezvous Hill, Bridgetown, Barbados",Christ Church,78523CC9+H8,13.071437,-59.581688,Supermarket,Healthy,,,356,357,203,Christ Churc,310,138,172,Christ Churc,Supermarket,0,1
278,1,278,Directory Barbados (Online),S063,Trimart Supermarket,"French Village Mount Brevitor, Mile and A Quarter, Barbados",St. Peter,7852797G+JW,13.264062,-59.622687,Supermarket,Healthy,,,281,281,554,St. Peter,465,214,251,St. Peter,Supermarket,0,1
279,1,279,Directory Barbados (Online),S064,Trimart Supermarket,"St. Martins, Barbados",St. Philip,78523GVM+8H,13.093312,-59.466063,Supermarket,Healthy,,,546,547,371,St. Philip,532,253,279,St. Philip,Supermarket,0,1
280,1,280,Find Yello Barbados Directory (Hard Copy),S065,Two Guys Supermarket,"Welchman Hall, Barbados",St. Thomas,78525CPC+2C,13.185063,-59.578937,Supermarket,Healthy,,,244,244,507,St. Thomas,189,80,109,St. Thomas,Supermarket,0,1
281,1,281,Directory Barbados (Online),S066,Young's Supermarket,"Baxters Rd, Bridgetown",St. Michael,7852493J+CV,13.103562,-59.617812,Supermarket,Healthy,,,8,8,10,St. Michael,179,64,115,St. Michael,Supermarket,0,1
282,1,282,Find Yello Barbados Directory (Online),W001,C & R Distributors Inc,"Websters Industrial Park, Wildey, St. Michael",St. Michael,78523CW6+4F,13.095313,-59.588813,Wholesaler,Healthy,,,133,133,156,St. Michael,497,236,261,St. Michael,Wholesaler,0,0
283,1,283,Find Yello Barbados Directory (Online),W002,Cost U Less ,"C2 arthur Seat Road, Welches, St. Thomas",St. Thomas,7852593Q+W7,13.154813,-59.611812,Supermarket/ Wholesaler,Healthy,,,227,227,485,St. Thomas,361,178,183,St. Thomas,Supermarket/ Wholesaler,0,1
284,1,284,Directory Barbados (Online),W003,Hanschell Inniss Sales Centre,"Fontabelle Rd, Bridgetown, Barbados",St. Michael,7852493H+R7,13.104563,-59.621813,Wholesaler,Healthy,,,10,10,12,St. Michael,527,274,253,St. Michael,Wholesaler,0,0
285,1,285,Directory Barbados (Online),W004,J G's Wholesale,"George St, Bridgetown, Barbados",St. Michael,785239WW+FJ,13.096187,-59.603438,Wholesaler,Healthy,,,104,104,126,St. Michael,263,122,141,St. Michael,Wholesaler,0,0
286,1,286,Google maps,W005,PriceSmart,"Lodge Rd, Barbados",St. Michael,785249QR+RX,13.139562,-59.607563,Supermarket/ Wholesaler,Healthy,,,154,154,74,St. Michael,563,286,277,St. Michael,Supermarket/ Wholesaler,0,1
287,1,287,Google maps,W006,Solo Trading Inc,"Ashdeane Village Rd, Bridgetown, Barbados",St. Michael,785249CG+WR,13.122312,-59.622938,Supermarket/ Wholesaler,Healthy,,,173,173,25,St. Michael,429,218,211,St. Michael,Supermarket/ Wholesaler,0,1
288,1,288,Find Yello Barbados Directory (Online),S073,Buy Rite Discount Store,"Magazine lane, Bridgetown ",St. Michael,785239XP+P4,13.099312,-59.614688,TBD,Unhealthy,,,2,2,3,St. Michael,372,198,174,St. Michael,TBD,1,0
289,1,289,Google maps,S074,Caribbean Solutions limited,"Whitepark Rd, Bridgetown, Barbados",St. Michael,7852493P+FJ,13.103687,-59.613438,TBD,Unhealthy,,,2,2,3,St. Michael,372,198,174,St. Michael,TBD,1,0
290,1,290,Find Yello Barbados Directory (Hard Copy),S075,Carmeta's Retail Shop,"Fishing Harbour, Princess Alice Hwy, Bridgetown, Barbados",St. Michael,785239WJ+V3,13.097188,-59.619813,TBD,Unhealthy,,,11,11,8,St. Michael,664,356,308,St. Michael,TBD,1,0
291,1,291,Find Yello Barbados Directory (Online),S076,Choices Deli,"Spry St, Bridgetown ",St. Michael,785239XP+9M,13.098437,-59.613312,TBD,Unhealthy,,,2,2,3,St. Michael,372,198,174,St. Michael,TBD,1,0
292,1,292,Directory Barbados (Online),S077,Fair Deals Inc,"Dayrells Road, Barbados",Christ Church,78523CJ2+C5,13.081062,-59.599563,TBD,Unhealthy,,,122,122,144,St. Michael,392,184,208,St. Michael,TBD,1,0
293,1,293,Google maps,S078,Fresh Vitamins,"The Dome Mall, Warrens, Barbados",St. Michael,785249RV+G2,13.141312,-59.607438,Health Food Store,Healthy,,,154,154,74,St. Michael,563,286,277,St. Michael,Health Food Store,0,0
294,1,294,Google maps,S079,Fresh Vitamins,"Colonnade Mall, Broad Street, Bridgetown",St. Michael,785239XM+2G,13.097563,-59.616187,Health Food Store,Healthy,,,6,6,6,St. Michael,355,190,165,St. Michael,Health Food Store,0,0
295,1,295,Google maps,S080,Fresh Vitamins,,Christ Church,78523CMJ+7X,13.083188,-59.567563,Health Food Store,Healthy,,,382,383,233,Christ Churc,206,99,107,Christ Churc,Health Food Store,0,0
296,1,296,Google maps,S081,Fresh Vitamins,"Town Square Shopping Centre, Speightstown",St. Peter,785269X4+6J,13.248062,-59.643438,Health Food Store,Healthy,,,272,272,538,St. Peter,470,233,237,St. Peter,Health Food Store,0,0
297,1,297,Find Yello Barbados Directory (Online),M040,Price Right Mini Mart,"Corner 3rd Avenue, Harts Gap Oistins Christ Church",Christ Church,785239HX+G7,13.078812,-59.601813,Mini mart/Convience store,Unhealthy,,,336,337,183,Christ Churc,308,151,157,Christ Churc,Mini mart/Convience store,1,0
298,1,298,Google maps,M041,Rojays Bargain Mart,"Upper, Roebuck St, Bridgetown, Barbados",St. Michael,7852492Q+WR,13.102312,-59.610438,Mini mart/Convience store,Unhealthy,,,2,2,3,St. Michael,372,198,174,St. Michael,Mini mart/Convience store,1,0
299,1,299,Find Yello Barbados Directory (Online),S082,S & H Enterprises,"Rose Hill, Alleynedale Hall, Barbados",St. Peter,785279CF+X5,13.272437,-59.627063,TBD,Unhealthy,,,271,271,537,St. Peter,440,212,228,St. Peter,TBD,1,0
300,1,300,Find Yello Barbados Directory (Online),S083,Sam J's ,"Belmont Road, St. Michael",St. Michael,785239XW+V6,13.099687,-59.604438,TBD,Unhealthy,,,169,169,130,St. Michael,346,165,181,St. Michael,TBD,1,0
301,1,301,Find Yello Barbados Directory (Hard Copy),S084,Sawh Wesbury Enterprises,"Westbury Rd, Bridgetown, Barbados",St. Michael,7852494J+P2,13.106812,-59.619938,TBD,Unhealthy,,,63,63,85,St. Michael,256,118,138,St. Michael,TBD,1,0
302,1,302,Google maps,S069,One Boscobelle Complex,"Lot 1, Johnson Road, Boscobelle",St. Peter,78527CPC+V3,13.287187,-59.579813,Supermarket,Healthy,,,285,285,558,St. Peter,534,274,260,St. Peter,Supermarket,0,1
303,1,303,Google maps,S070,Fair Deals Inc Supermarket,Crab Hill ,St. Lucy,78528996+JP,13.319063,-59.638188,Supermarket,Healthy,,,295,295,568,St. Lucy,106,47,59,St. Lucy,Supermarket,0,1
304,1,304,Google maps,S071,Palm Mart,"Four Roads, St. John",St. John,78525FCH+28,13.170063,-59.521687,Mini mart/Convience store,Unhealthy,,,516,517,410,St. John,470,215,255,St. John,Mini mart/Convience store,1,0
305,1,305,Google maps,S072,Clifton Market,Worthing Main Road,Christ Church,78523CCC+67,13.070562,-59.579313,Supermarket,Healthy,,,354,355,201,Christ Churc,182,88,94,Christ Churc,Supermarket,0,1
306,1,306,Ground thruthing,M039,Angiees 7/ 11,"Drake's Land Corner of Union Road, Barbados",St. Philip,78524GGV+7H,13.125687,-59.456063,Mini mart/Convience store,Unhealthy,,,555,556,351,St. Philip,241,119,122,St. Philip,Mini mart/Convience store,1,0
